Category,Technology,DeveloperExperienceRequired,ComplexityOfProject,ProjectScale,PerformanceOfTechnology,CommunitySupport,Scalability,SecurityFeatures,Cost,IntegrationCapabilities,DocumentationQuality,LearningCurve,CommunityAdoption,PerformanceScaling,VendorLockIn,EcosystemSupport,LongTermSupport
Frontend,HTML/CSS,0.1,0.12,0.3,0.41,0.82,0.75,0.51,0.32,0.23,0.46,0.87,0.27,0.81,0.34,0.13,0.89
Frontend,JavaScript,0.52,0.53,0.31,0.42,0.83,0.76,0.52,0.53,0.24,0.81,0.82,0.53,0.82,0.35,0.14,0.81
Frontend,React,0.55,0.86,0.61,0.84,0.85,0.78,0.55,0.74,0.26,0.85,0.86,0.86,0.86,0.36,0.15,0.85
Frontend,Vue.js,0.57,0.68,0.33,0.86,0.87,0.79,0.57,0.76,0.28,0.87,0.88,0.57,0.88,0.37,0.16,0.87
Frontend,Angular,0.88,0.89,0.91,0.88,0.89,0.79,0.59,0.77,0.29,0.88,0.89,0.88,0.89,0.38,0.17,0.88
Backend,Node.js,0.59,0.6,0.32,0.89,0.9,0.8,0.6,0.78,0.3,0.89,0.9,0.59,0.9,0.39,0.18,0.89
Backend,Django,0.61,0.92,0.33,0.9,0.91,0.81,0.61,0.79,0.31,0.9,0.91,0.61,0.91,0.4,0.19,0.9
Backend,Flask,0.14,0.16,0.63,0.43,0.92,0.61,0.33,0.44,0.32,0.9,0.91,0.14,0.91,0.63,0.2,0.9
Backend,Ruby on Rails,0.63,0.95,0.34,0.91,0.93,0.82,0.63,0.81,0.33,0.91,0.93,0.63,0.93,0.41,0.21,0.91
Backend,ASP.NET Core,0.65,0.97,0.64,0.93,0.95,0.83,0.65,0.83,0.35,0.93,0.95,0.65,0.95,0.42,0.22,0.93
Middleware,Express.js,0.67,0.68,0.34,0.94,0.96,0.84,0.67,0.84,0.36,0.94,0.96,0.67,0.96,0.43,0.23,0.94
Middleware,Spring Boot,0.69,0.99,0.65,0.96,0.97,0.85,0.69,0.86,0.38,0.96,0.97,0.69,0.97,0.44,0.24,0.96
Middleware,Flask,0.18,0.2,0.66,0.47,0.98,0.65,0.37,0.47,0.39,0.96,0.97,0.18,0.97,0.66,0.25,0.96
Middleware,Django REST Framework,0.71,1,0.37,0.97,0.99,0.86,0.71,0.88,0.4,0.97,0.99,0.71,0.99,0.45,0.26,0.97
Middleware,GraphQL,0.73,1.01,0.38,0.98,1,0.87,0.73,0.9,0.42,0.98,1,0.73,1,0.46,0.27,0.98
Database,MySQL,0.75,0.75,0.39,0.99,1.01,0.88,0.75,0.91,0.43,0.99,1.01,0.75,1.01,0.47,0.28,0.99
Database,PostgreSQL,0.77,1.03,0.4,1,1.02,0.89,0.77,0.93,0.44,1,1.02,0.77,1.02,0.48,0.29,1
Database,MongoDB,0.79,0.8,0.41,0.45,1.03,0.9,0.79,0.95,0.46,1,1.02,0.79,1.03,0.49,0.3,1
Database,SQLite,0.21,0.23,0.42,0.5,1.04,0.67,0.38,0.5,0.47,1,1.02,0.21,1.03,0.67,0.31,1
Database,Redis,0.81,0.82,0.43,1.02,1.05,0.91,0.81,0.96,0.48,1,1.02,0.81,1.05,0.5,0.32,1
Cybersecurity,OpenSSL,0.83,0.84,0.66,1.04,1.06,0.92,0.83,0.98,0.49,1,1.02,0.83,1.06,0.51,0.33,1
Cybersecurity,OWASP Top 10,0.85,1.06,0.67,1.06,1.07,0.93,0.85,1,0.5,1,1.02,0.85,1.07,0.52,0.34,1
Cybersecurity,Nmap,0.87,1.08,0.67,1.08,1.08,0.94,0.87,1.02,0.51,1,1.02,0.87,1.08,0.53,0.35,1
Cybersecurity,Snort,0.89,1.1,0.68,1.1,1.09,0.95,0.89,1.04,0.52,1,1.02,0.89,1.1,0.54,0.36,1
Cybersecurity,Wireshark,0.91,1.12,0.68,1.12,1.1,0.96,0.91,1.06,0.53,1,1.02,0.91,1.12,0.55,0.37,1
